#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
1,USA,"82,252,965",,"1,014,902 ",,"80,095,639",+292,"1,142,424","1,536","245,929","3,034","994,742,849","2,974,186","334,458,823 ",North America,43300,,,"3,416"
2,India,"43,039,972",,"521,772 ",,"42,507,038",,"11,162",698,"30,652",372,"794,525,202","565,836","1,404,161,824 ",Asia,"332,6912",,,8
3,Brazil,"30,234,024",,"661,855 ",,"29,191,158",,"381,011","8,318","140,460","3,075","63,776,166","296,289","215,249,843 ",South America,73253,,,"1,770"
4,France,"27,447,397",,"143,910 ",,"24,635,972",,"2,667,515","1,541","418,848","2,196","260,504,402","3,975,303","65,530,697 ",Europe,24550,,,"40,706"
5,Germany,"23,362,800","+85,484","133,304 ",+89,"19,674,300","+229,700","3,555,196","1,980","277,267","1,582","122,332,384","1,451,827","84,260,978 ",Europe,46321,"1,015",1,"42,193"
6,UK,"21,747,638",,"171,396 ",,"20,048,794",,"1,527,448",355,"317,386","2,501","512,140,269","7,474,209","68,520,995 ",Europe,34000,,,"22,292"
7,Russia,"18,053,359","+11,432","373,027 ",+261,"17,340,639","+19,523","339,693","2,300","123,614","2,554","273,400,000","1,872,014","146,045,885 ",Europe,83921,78,2,"2,326"
8,S. Korea,"16,104,869","+125,808","20,616 ",+264,N/A,N/A,N/A,999,"313,643",401,"15,804,065","307,785","51,347,751 ",Asia,"32,4913","2,450",5,"294,360"
9,Italy,"15,533,012",,"161,336 ",,"14,144,014",,"1,227,662",420,"257,581","2,675","208,014,099","3,449,452","60,303,524 ",Europe,43740,,,"20,358"
10,Turkey,"14,983,158",,"98,514 ",,"14,705,256",,"179,388",975,"174,314","1,146","156,696,697","1,823,011","85,954,904 ",Asia,68731,,,"2,087"
11,Spain,"11,662,214",,"103,266 ",,"11,120,708",,"438,240",368,"249,262","2,207","471,036,328","10,067,670","46,787,024 ",Europe,44530,,,"9,367"
12,Vietnam,"10,320,599",,"42,901 ",,"8,856,627",,"1,421,071","1,161","104,356",434,"85,547,798","865,010","98,898,007 ",Asia,"102,3051",,,"14,369"
13,Argentina,"9,059,351",,"128,306 ",,"8,891,306",,"39,739",412,"197,224","2,793","35,696,389","777,120","45,934,213 ",South America,53581,,,865
14,Netherlands,"8,015,576","+4,133","22,156 ",+8,"7,305,087","+60,252","688,333",113,"465,957","1,288","21,107,399","1,227,004","17,202,382 ",Europe,27761,240,0.5,"40,014"
15,Japan,"7,237,050","+55,282","28,884 ",+59,"6,682,153","+40,132","526,013",230,"57,534",230,"45,346,052","360,498","125,787,084 ",Asia,"174,3553",439,0.5,"4,182"
16,Iran,"7,204,049","+1,994","140,777 ",+33,"6,938,480","+3,816","124,792","1,441","83,859","1,639","50,079,995","582,956","85,906,977 ",Asia,126102,23,0.4,"1,453"
17,Colombia,"6,089,176",,"139,738 ",,"5,922,410",,"27,028",342,"117,442","2,695","34,226,470","660,124","51,848,522 ",South America,93712,,,521
18,Indonesia,"6,038,664",+922,"155,820 ",+26,"5,820,179","+2,275","62,665","2,771","21,669",559,"93,900,348","336,955","278,673,384 ",Asia,"461,7883",3,0.09,225
19,Poland,"5,983,864","+1,201","115,809 ",+34,"5,334,009",+102,"534,046",268,"158,417","3,066","35,924,946","951,080","37,772,804 ",Europe,63261,32,0.9,"14,138"
20,Mexico,"5,724,611",,"323,848 ",,"5,025,527",,"375,236","4,798","43,585","2,466","15,691,493","119,468","131,344,642 ",North America,234068,,,"2,857"
21,Australia,"5,308,287","+45,999","6,727 ",+34,"4,821,415",,"480,145",126,"203,956",258,"68,170,492","2,619,257","26,026,656 ",Australia/Oceania,"53,8690","1,767",1,"18,448"
22,Ukraine,"4,990,465",,"108,220 ",,N/A,N/A,N/A,177,"115,344","2,501","19,521,252","451,192","43,265,976 ",Europe,94002,,,"19,050"
